Time: 1.119700e-03 seconds, Array size: 11, Processes: 1, Threads: 24
Time: 7.393000e-03 seconds, Array size: 11, Processes: 1, Threads: 24
Time: 1.332400e-03 seconds, Array size: 11, Processes: 1, Threads: 24
Time: 7.522800e-03 seconds, Array size: 16, Processes: 1, Threads: 24
Time: 7.288700e-03 seconds, Array size: 16, Processes: 1, Threads: 24
Time: 7.379300e-03 seconds, Array size: 16, Processes: 1, Threads: 24
Time: 7.671100e-03 seconds, Array size: 16, Processes: 1, Threads: 24
Time: 7.202600e-03 seconds, Array size: 16, Processes: 1, Threads: 24
Time: 6.640000e-05 seconds, Array size: 16, Processes: 1, Threads: 1
Time: 9.441797e-01 seconds, Array size: 10000000, Processes: 1, Threads: 1
Time: 3.105755e-01 seconds, Array size: 10000000, Processes: 1, Threads: 4
Time: 1.904433e-01 seconds, Array size: 10000000, Processes: 1, Threads: 24
Time: 7.637029e+00 seconds, Array size: 100000000, Processes: 1, Threads: 1
Time: 4.104801e+00 seconds, Array size: 100000000, Processes: 1, Threads: 2
Time: 2.394319e+00 seconds, Array size: 100000000, Processes: 1, Threads: 4
Time: 1.629555e+00 seconds, Array size: 100000000, Processes: 1, Threads: 8
Time: 1.303497e+00 seconds, Array size: 100000000, Processes: 1, Threads: 16
Time: 1.309494e+00 seconds, Array size: 100000000, Processes: 1, Threads: 24
Time: 1.318116e+00 seconds, Array size: 100000000, Processes: 1, Threads: 24
Time: 1.347730e-02 seconds, Array size: 100, Processes: 1, Threads: 24
Time: 1.284390e-02 seconds, Array size: 100, Processes: 1, Threads: 24
Time: 4.538000e-04 seconds, Array size: 100, Processes: 1, Threads: 2
Time: 4.596000e-04 seconds, Array size: 100, Processes: 1, Threads: 2
Time: 6.130000e-04 seconds, Array size: 128, Processes: 1, Threads: 2
Time: 4.480000e-04 seconds, Array size: 128, Processes: 1, Threads: 2
Time: 4.843000e-04 seconds, Array size: 128, Processes: 1, Threads: 2
Time: 5.384000e-04 seconds, Array size: 129, Processes: 1, Threads: 2
Time: 7.782000e-04 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 8.277000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 6.807000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 4.499000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 9.032000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 9.829000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 1.028400e-03 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 7.788000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 1.148900e-03 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 7.610000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 7.512000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 6.263000e-04 seconds, Array size: 7, Processes: 1, Threads: 2
Time: 1.456200e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.328200e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 5.118800e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 5.336300e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.893100e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.896500e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.063000e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.011900e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.137300e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.839700e-03 seconds, Array size: 9, Processes: 1, Threads: 2
